original_index,original_guide,related_index_1,related_index_2,related_index_3,related_index_4,related_index_5
435,you feel food stuck in your throat and you can breathe but swallowing is difficult,704,480,,,
436,you feel lightheaded and close to fainting but the symptoms keep returning,434,465,,,
437,you feel like strangers are coordinating to follow or watch you in public,699,700,,,
438,you feel pressured into sexual contact during a healthcare or support appointment and feel unsafe,103,135,,,
439,you feel unsafe at a venue and staff or security are not helping,223,218,,,
440,you find a bat in your room while you were asleep and are unsure about contact,169,454,,,
441,you find a large insect swarm indoors and suspect a nest in the building,140,454,,,
442,you find a locked safe or strongbox and suspect vital documents are inside,321,943,,,
443,you find a ransom note or encrypted files on your computer,642,837,,,
444,you find a strong sewer smell coming from one specific drain even after running water,181,202,,,
445,you find an error on a death certificate that is blocking urgent tasks,428,264,,,
446,you find an outdoor tap or hose connection leaking into an interior wall,247,958,,,
447,you find more than one will and family members disagree about which is valid,277,691,,,
448,you find pets left alone after their owner has died and you need urgent care for them,15,139,,,
449,you find sexual images of your child on a device and you suspect coercion or exploitation,771,339,,,
450,you find standing water in your basement or crawl space after heavy rain,133,237,,,
451,you find storm damage to your roof or windows that could worsen,668,569,,,
452,you find water collecting under a tiled floor and suspect a leak beneath the tiles,242,245,,,
453,you get a bank alert about a new payee or device you did not authorise,552,729,,,
454,you get a bite or sting and the swelling keeps increasing over hours,169,554,,,
455,you get a call claiming a family member has been detained or arrested,647,311,,,
456,you get a final notice for rent or mortgage and cannot pay on time,914,1,,,
457,you get a needle-stick injury from a discarded needle in a public place,557,713,,,
458,you get a new severe stiff neck without an obvious injury,471,397,,,
459,you get a notice that your two-factor authentication method was changed without your permission,461,711,,,
460,you get a notification that your card was added to a digital wallet you do not use,764,716,,,
461,you get an alert that an unknown passkey was added to your account,459,711,,,
462,you get an alert that your card details may have been exposed in a data breach,764,467,,,
463,you get an unexpected carrier alert that call forwarding was enabled,956,751,,,
464,you get an unexpectedly high blood pressure reading and feel unwell,481,478,,,
465,you get an unexpectedly low blood pressure reading and feel weak or lightheaded,434,436,,,
466,you get an urgent delivery or customs fee demand for a parcel you were not expecting,260,634,,,
467,you get notified of a data breach and you reuse that password on other accounts,574,711,,,
468,you get repeated password reset emails for work accounts you did not request,297,555,,,
469,you have a family court or custody hearing soon after a death,29,278,,,
470,you have a fever and your heart rate feels unusually fast at rest,393,410,,,
471,you have a fever with a stiff neck or sensitivity to light,458,397,,,
472,you have a first court appearance and cannot get legal advice in time,333,581,,,
473,"you have a flat tyre but no spare, jack, or repair kit",947,420,,,
474,"you have a joint that is suddenly hot, swollen, and painful",399,564,,,
475,you have a jury summons but cannot attend on the date provided,590,627,,,
476,you have a mandatory work training deadline approaching but have not been scheduled or assigned to complete it,320,912,,,
477,you have a new episode of unusual sensations and confusion and worry it could be a seizure,432,560,,,
478,you have a new severe headache with a droopy eyelid or unequal pupils,481,565,,,
479,you have a painful erection that has lasted several hours and will not go away,415,548,,,
480,"you have a painful, rapidly worsening sore throat and trouble swallowing",398,435,,,
481,"you have a sudden, severe, and unusual headache",478,513,,,
482,you have been in a minor car collision and are now safely parked,127,665,,,
483,you have been in the cold and cannot stop shivering or feel confused,938,432,,,
484,you have diabetes and a foot blister or wound that is worsening or looks infected,564,399,,,
485,you have facial swelling from a tooth problem that is spreading,502,551,,,
486,you have heavy postpartum bleeding and feel lightheaded or faint,494,465,,,
487,you have new abdominal bloating and vomiting after recent surgery,489,491,,,
488,you have new urinary pain and see blood in your urine,417,492,,,
489,you have severe constipation with increasing abdominal swelling and nausea,487,491,,,
490,you have steadily worsening pain in the lower right side of your abdomen,491,487,,,
491,you have sudden abdominal pain that is new and worsening,490,500,,,
492,you have sudden back or side pain with fever and urinary symptoms,417,488,,,
493,you have sudden chest pain after a long trip or prolonged immobility,402,416,,,
494,you have sudden heavy vaginal bleeding and feel dizzy,486,496,,,
495,you have sudden loss of vision in one eye or a curtain-like shadow,565,499,,,
496,you have sudden pelvic pain and abnormal vaginal bleeding,494,407,,,
497,you have sudden severe chest pain or heartburn after swallowing a pill,435,402,,,
498,you have sudden severe ear pain with fever and swelling behind the ear,686,413,,,
499,you have sudden severe eye pain with redness or halos around lights,495,565,,,
500,you have sudden severe pain in your upper abdomen with nausea that will not settle,406,491,,,
501,you have sudden watery diarrhea after starting antibiotics and feel increasingly unwell,410,393,,,
502,"you have sudden worsening pain, redness, or discharge after a recent procedure or dental work",399,557,,,
503,you hear a loud new grinding or scraping noise while driving,508,954,,,
504,you hear a repeated clicking sound from a wall or electrical outlet,506,562,,,
505,you hear arguing or sounds of distress from a neighbor and are unsure whether to intervene,223,89,,,
506,"you hear buzzing, crackling, or sizzling from your electrical panel or fuse box",504,157,,,
507,you hear credible rumours of layoffs in your department,818,831,,,
508,you hear loud clicking or grinding from one wheel after a tire change,503,954,,,
509,"you hear someone on a fire escape, balcony, or roof area near your window",217,510,,,
510,you hear someone outside calling your name when you are home alone,509,89,,,
511,you hit a daily transfer limit and need to send a payment today,730,1,,,
512,you hit your eye and now have worsening pain or blurred vision,499,565,,,
513,"you hit your head and now have a worsening headache, nausea, or unusual sleepiness",481,478,,,
514,you keep receiving unwanted explicit images and the sender will not stop,156,213,,,
515,you learn a close relative has died and you feel destabilised by your history with them,621,203,,,
516,you learn a friend is being pressured for sexual photos and they are afraid to tell anyone,56,514,,,
517,you learn a loved one has died abroad and you do not know who to contact first,625,656,,,
518,you learn a loved one’s death may have involved drugs or alcohol and you fear stigma and gossip,243,302,,,
519,you learn your wages or bank account are being garnished or frozen,720,728,,,
520,you leave a child car seat or booster seat in a taxi or rideshare and you need it to travel,521,919,,,
521,you left your passport in a taxi or rideshare and need to travel today,579,575,,,
522,you lock your keys inside your vehicle but still have your phone,531,758,,,
523,you lose a physical security key used for two-factor sign-in,388,525,,,
524,you lose access to a shared work account or workspace unexpectedly,527,338,,,
525,you lose access to your authenticator app and cannot log in to your financial accounts,388,526,,,
526,you lose access to your financial accounts because your phone number was hijacked or SIM swapped,904,683,,,
527,you lose access to your work email and systems without warning,524,555,,,
528,you lose power in part of your home and the breaker panel looks normal,966,506,,,
529,you lose your company ID badge and are worried it could be misused,747,297,,,
530,you lose your driving licence abroad and need it for car hire or travel plans,11,344,,,
531,you lose your vehicle keys while you are out and you are stranded,522,762,,,
532,"you lose your visa, residence permit, or immigration documents while abroad",917,540,,,
533,you miss a dose of important medicine and symptoms are starting,705,403,,,
534,you miss a flight connection because of immigration or document checks and you are stranded,337,842,,,
535,you missed a court response deadline and fear a default judgment,581,658,,,
536,you need to access a deceased person's locked safety deposit box,442,691,,,
537,you need to handle rent or mortgage payments after someone has died,2,174,,,
538,you need to make a funeral or memorial service private due to safety or privacy concerns,429,185,,,
539,you need to notify your employer or school about a death in your family,309,288,,,
540,you need to renew or replace your passport abroad and cannot get an appointment in time,886,256,,,
541,you need to tell a child that a relative is dying soon,542,349,,,
542,you need to tell a child that someone close has died and you are in shock,541,377,,,
543,you need to tell an estranged family member about a death and fear conflict,203,302,,,
544,you need to travel with cremated remains and are unsure about documentation or airport screening,864,283,,,
545,you need to update your child’s emergency contacts and pick-up list after a death,146,278,,,
546,"you notice a ceiling beam, joist, or rafter is cracked or out of line",59,569,,,
547,you notice a new breast redness or swelling with fever that develops quickly,399,550,,,
548,you notice a new groin bulge with increasing pain and nausea,415,491,,,
549,you notice a new irregular heartbeat or skipped beats and feel unsettled,847,432,,,
550,you notice a new lump or swelling that appeared suddenly and is growing,398,551,,,
551,you notice a painful swelling near your eye or nose that is spreading,485,399,,,
552,you notice a pending payment or transfer that you did not authorise,453,716,,,
553,you notice a rash with fever and are unsure if it is serious,395,554,,,
554,you notice a tick bite and a rash that is spreading or getting bigger,553,454,,,
555,you notice emails or messages being sent from your work account that you did not send,297,468,,,
556,you notice ice buildup on your roof edge and water marks appearing indoors,569,451,,,
557,"you notice increasing redness, pain, or swelling around an IV or injection site",713,502,,,
558,you notice mushrooms or fungal growth appearing indoors after a water leak,675,967,,,
559,you notice new numbness in the groin area or trouble controlling your bladder or bowels,411,405,,,
560,you notice new slurred speech or difficulty getting words out,431,565,,,
561,you notice purple spots or bruising that appear suddenly without injury,326,682,,,
562,you notice scorch marks or burning smells around a ceiling light fixture,506,671,,,
563,you notice soil washing away near a foundation or retaining wall and it seems to be accelerating,113,237,,,
564,you notice spreading redness or red streaks around a cut,399,484,,,
565,"you notice sudden vision changes like flashing lights, blind spots, or blurred vision",495,412,,,
566,you notice unexplained small deposits in your bank account,716,664,,,
567,you notice water seeping through a basement wall,450,237,,,
568,you notice your passport is not signed and you are close to departure,679,887,,,
569,you notice your roofline sagging after severe weather,546,451,,,
570,you overwrite a file and cannot find a previous version to restore,251,427,,,
571,you realise someone is collecting your photos and making sexual comments about you online,212,689,,,
572,you realise you boarded the wrong train or bus,379,940,,,
573,you realise you brought an old or cancelled passport instead of your current one,376,813,,,
574,you realise you entered your password into a site that may have been fake,467,711,,,
575,you realise you left your passport in a hotel safe and have to travel soon,944,521,,,
576,you realise you may have mixed up two similar-looking medicines,253,577,,,
577,you realise you may have taken two medicines that should not be combined,576,403,,,
578,you realise your passport is missing the night before you travel,521,579,,,
579,you realise your passport was left in an airport security tray after you walk away,521,578,,,
580,you receive a call asking you to store property for someone in custody,229,311,,,
581,you receive a court claim or lawsuit notice and the deadline to respond is soon,535,582,,,
582,you receive a court claim or summons about an unpaid debt unexpectedly,585,581,,,
583,you receive a court order you do not understand and it takes effect immediately,608,342,,,
584,you receive a data export is ready email for an account you did not request,711,689,,,
585,you receive a debt collection letter for a debt you do not recognise,27,602,,,
586,you receive a demand for documents that include private communications and you are unsure what is protected,591,197,,,
587,you receive a demand for money to return your lost passport or documents and suspect a scam,688,629,,,
588,you receive a demand to return company equipment with threats of action,592,593,,,
589,you receive a formal disciplinary hearing notice at work,346,423,,,
590,you receive a jury summons with the wrong name or address details,475,422,,,
591,you receive a legal hold or preservation notice to keep records for a case,586,370,,,
592,you receive a legal letter from your employer alleging a breach of contract,347,332,,,
593,you receive a legal threat from a former employer about contacting clients or colleagues,332,52,,,
594,you receive a letter demanding payment for an official filing you did not submit,634,641,,,
595,you receive a message claiming a warrant will be issued if you do not respond by a deadline,702,639,,,
596,you receive a message demanding an urgent fee to release a visa or permit,629,634,,,
597,you receive a message from someone you know that feels off and asks you to meet urgently in a private place,230,650,,,
598,you receive a message that someone in custody has restricted contact and you are unsure what it means,607,101,,,
599,you receive a message with a link claiming to be an intimate photo of you,421,514,,,
600,you receive a missed check-in alert from a supervision app or phone system and the deadline is short,812,651,,,
601,you receive a no-contact order but share childcare or other responsibilities,341,342,,,
602,you receive a notice about a lien for a debt you do not recognise,585,582,,,
603,you receive a notice asking you to identify the driver of a vehicle linked to an offence,646,611,,,
604,you receive a notice from a prosecutor asking for a response or statement,627,190,,,
605,you receive a notice that a past-due bill will be escalated to enforcement unless paid today,617,40,,,
606,you receive a notice that an online account will be deleted soon for inactivity,776,116,,,
607,you receive a notice that visitation rules for a detention facility have changed,598,101,,,
608,you receive a notice that you could be held in contempt for not complying with a court order,583,658,,,
609,you receive a notice that your booking was changed and you suspect someone accessed your travel account,941,711,,,
610,you receive a notice that your court hearing has been moved to an earlier date,389,644,,,
611,you receive a notice that your driver licence or driving privilege is being suspended,646,373,,,
612,you receive a notice that your name is on an official watchlist or database and you cannot correct it quickly,337,422,,,
613,you receive a notice that your property may be searched or inspected as part of an investigation,200,624,,,
614,you receive a notice that your vehicle has been impounded or seized,662,99,,,
615,you receive a notice that your visa application needs more documents by a short deadline,654,259,,,
616,you receive a notice that your visa or travel permission has been cancelled while you are abroad,337,917,,,
617,you receive a notice threatening immediate enforcement or legal action over a missed payment,605,40,,,
618,you receive a notice to attend a meeting about a complaint involving your child,310,365,,,
619,you receive a notice to surrender to custody to begin a sentence,715,229,,,
620,you receive a notification that screen sharing or remote management was enabled without your consent,690,706,,,
621,you receive a phone call saying a family member has died and you are alone,515,328,,,
622,you receive a property tax delinquency notice because your escrow payments were not applied,914,871,,,
623,you receive a repossession warning for your financed vehicle,653,614,,,
624,"you receive a request to hand over CCTV, doorbell camera, or dashcam footage to authorities",188,586,,,
625,you receive a request to transfer a loved one’s remains and are unsure it is legitimate,350,656,,,
626,you receive a student loan default warning or a threat of collection action,933,653,,,
627,you receive a subpoena or formal demand to testify and the deadline is soon,340,604,,,
628,you receive a suspicious call from someone claiming to be emergency services,639,635,,,
629,you receive a suspicious call or message claiming to be from an embassy asking for personal details,596,296,,,
630,you receive a suspicious email asking you to change your payroll or direct deposit bank details,297,555,,,
631,you receive a suspicious text or call claiming your account will be closed,729,574,,,
632,you receive a tax audit notice and the response deadline is soon,658,633,,,
633,you receive a tax bill you cannot pay by the deadline,617,937,,,
634,you receive a text or email demanding immediate payment for a fine or fee,594,641,,,
635,you receive a threat that someone will send police or emergency services to your address as a prank,628,636,,,
636,you receive a threatening blackmail message demanding immediate action and you fear it could escalate in person,642,659,,,
637,you receive a utility bill or notice for an address where you have never lived,791,585,,,
638,you receive a utility disconnection or shutoff notice for non-payment,5,685,,,
639,you receive a voicemail from someone claiming to be police about an incident,357,628,,,
640,you receive alerts that accounts are being accessed after a death and you suspect identity misuse,687,691,,,
641,you receive an email about a case number that requires urgent action but you cannot verify the sender,594,639,,,
642,you receive an extortion message claiming your files were copied and you are unsure if it is real,443,690,,,
643,you receive an invoice or bill for a purchase or service you did not order,112,637,,,
644,you receive an official letter saying you missed a court date you did not know about,535,610,,,
645,you receive an official notice that your benefits may be stopped due to an investigation,5,918,,,
646,you receive an official notice that your vehicle registration may be suspended or cancelled,611,373,,,
647,you receive an unexpected collect call from a detention facility and you do not know who it is,455,311,,,
648,you receive an unexpected notice that your identity must be verified in person for an official record,387,654,,,
649,you receive an unexpected request to meet an investigator at a location you did not choose,161,190,,,
650,you receive an unsolicited meet me now message from an unfamiliar or spoofed account,597,230,,,
651,you receive an urgent message about a potential supervision breach and a deadline to respond today,910,600,,,
652,you receive an urgent message asking you to buy gift cards or make a payment for work,290,630,,,
653,you receive an urgent notice about a missed loan payment you thought was covered,933,623,,,
654,you receive an urgent notice demanding identity documents within 48 hours,387,615,,,
655,you receive an urgent official request to update your address and are unsure if it is real,641,637,,,
656,you receive conflicting information about where a person who died is being held,350,381,,,
657,you receive legal papers or court documents addressed to someone else at your home,661,422,,,
658,you receive official paperwork with a deadline that has already passed,535,644,,,
659,you receive sexual threats online after you rejected someone and they keep escalating,156,636,,,
660,you receive unexpected account verification or welcome emails at your work address,468,297,,,
661,you receive urgent court papers addressed to a person who has died,182,299,,,
662,you return to where you parked and your vehicle is missing,614,99,,,
663,you run out of fuel and your vehicle is safely off the road,755,762,,,
664,you see a large cash withdrawal on your account but you still have your card,716,453,,,
665,you see a new fluid leak under your vehicle and you cannot identify what it is,165,676,,,
666,you see a stranger checking door numbers or mailboxes in your building,217,669,,,
667,you see app subscriptions or in-app purchases you did not start,710,680,,,
668,you see roof tiles or shingles missing after high winds,451,569,,,
669,you see someone checking car door handles in a parking lot or garage,204,662,,,
670,you see someone trying to enter a restricted area and you are worried about safety,439,223,,,
671,you see water dripping from a ceiling light or recessed light,76,562,,,
672,you see water or condensation inside an outdoor electrical box or near your meter,433,506,,,
673,you sent confidential information or a file to the wrong person at work,591,586,,,
674,you shared your bank login or a one-time code and think your account is at risk,526,724,,,
675,you smell a strong musty odour and find mould spreading quickly after dampness,558,967,,,
676,you smell burning from your vehicle and have pulled over safely,165,665,,,
677,you smell exhaust fumes inside your car while stopped or parked,14,678,,,
678,you smell gasoline or fuel around your parked vehicle,676,665,,,
679,you spot a major printing error on your passport details page shortly before travel,422,568,,,
680,you spot a recurring charge to a company you do not recognise,305,764,,,
681,"you start a new medicine and feel faint, unusually restless, or severely sweaty",403,577,,,
682,you start having repeated nosebleeds or bleeding gums without a clear cause,561,326,,,
683,you stop receiving text messages and cannot get SMS verification codes,526,904,,,
684,you suddenly have no hot water and your water heater shows an error or warning light,739,939,,,
685,you suddenly have no running water in your home,748,866,,,
686,you suddenly lose hearing in one ear or your hearing drops sharply,413,498,,,
687,you suspect a mailing address was changed after a death and important letters are missing,640,691,,,
688,you suspect someone copied your passport details and you are worried about misuse while abroad,296,426,,,
689,you suspect someone else has access to your private photos or cloud account,425,584,,,
690,you suspect someone has remote access to your computer because the cursor is moving on its own,620,709,,,
691,you suspect someone is accessing the money or property of a person who has died,640,687,,,
692,you suspect someone is grooming you by rushing intimacy and isolating you from others,218,793,,,
693,you suspect someone is trying to pickpocket you in a crowd,900,204,,,
694,you suspect someone is using your name to approve purchases or invoices at work,297,652,,,
695,you suspect you have a serious reaction after a vaccine or injection,557,713,,,
696,you suspect you swallowed a caustic household product and your mouth or throat is burning,409,704,,,
697,you suspect your drink or food has been tampered with or spiked,55,218,,,
698,you suspect your pipes are starting to freeze and the taps are slowing or sputtering,685,958,,,
699,you think someone is following you and they are still nearby,211,231,,,
700,"you think someone may have put a tracking device in your bag, car, or belongings",699,212,,,
701,you think someone used your unlocked phone to search for or share intimate content while you were asleep,706,689,,,
702,you think there is an active warrant in your name,595,187,,,
703,you think you have taken too much paracetamol or acetaminophen from multiple products,705,577,,,
704,you think you swallowed a fish bone or sharp food and throat pain is worsening,435,497,,,
705,you think you took a double dose of a prescription medicine by mistake,576,577,,,
706,you think your phone camera or microphone was accessed and fear intimate content was captured,620,701,,,
707,your accommodation booking is disputed at check-in and you need proof immediately,386,609,,,
708,your airline says your travel documents do not meet the destination entry requirements,337,183,,,
709,your antivirus or security app is suddenly disabled and you did not change it,690,780,,,
710,your app store account is locked for suspicious purchases and you need access urgently,667,711,,,
711,your Apple ID or Google Account shows a new device being set up,459,574,,,
712,your approved time off is cancelled with very short notice,971,820,,,
713,"your arm becomes swollen or heavy after an IV, line, or injection",557,695,,,
714,your authenticator app shows accounts missing after an update or phone change,525,388,,,
715,your bail or release conditions have changed suddenly and you are unsure how to comply,363,910,,,
716,your bank account balance drops suddenly and you cannot explain the transactions,552,664,,,
717,your bank account is being closed and you need to move your money fast,720,892,,,
718,your bank account is marked dormant and you cannot make payments,720,730,,,
719,your bank account is overdrawn and you have multiple payments scheduled in the next 48 hours,723,250,,,
720,your bank account is restricted or frozen and you cannot access your funds,519,717,,,
721,your bank blocks a payment because the payee details appear to have changed,74,134,,,
722,your bank blocks your card while you are abroad,383,916,,,
723,your bank charges an unexpected fee or penalty that puts your account in the red,719,111,,,
724,your bank confirms unauthorised payments but says the investigation will take weeks,716,552,,,
725,your bank has temporarily blocked your cheques or check writing for fraud checks,20,21,,,
726,your bank places a hold on a large deposit and you cannot access the funds,727,719,,,
727,your bank says a recent deposit was reversed and your balance is now negative,21,726,,,
728,your bank says it will take money from your account to cover a debt,519,937,,,
729,your bank sends a suspicious transaction alert asking you to confirm by link,453,207,,,
730,your bank’s app and website are down and you have a time-critical payment due,511,1,,,
731,your bicycle chain snaps or jams and you cannot pedal,733,734,,,
732,your bicycle lock is jammed or the key is broken and you cannot free your bike,731,733,,,
733,your bicycle tyre punctures and you do not have the tools to fix it,731,734,,,
734,your bike brakes feel unreliable during a pre-ride check and you still need to travel,736,735,,,
735,your bike lights will not turn on and you are worried about riding in the dark,734,807,,,
736,"your bike’s quick-release, axle, or wheel feels loose and you suspect it may not be safe to ride",734,733,,,
737,your blood sugar reading is low and keeps dropping despite eating,845,432,,,
738,your boiler or furnace is leaking water and the situation is getting worse,739,104,,,
739,your boiler pressure drops suddenly and the heating or hot water stops working,738,849,,,
740,your brake lights stay on after you turn the vehicle off and you worry the battery will drain,753,856,,,
741,your brake pedal feels soft or unusually low while the vehicle is stopped,8,144,,,
742,your brokerage or trading account shows a sudden negative cash balance or margin call,716,720,,,
743,"your browser bookmarks, history, or extensions disappear after an update",171,150,,,
744,your browser homepage and default search engine change overnight,171,745,,,
745,your browser keeps redirecting to strange pages after you downloaded a file,171,709,,,
746,your browser shows connection not private warnings on many trusted sites at once,796,850,,,
747,your building access badge stops working and you are told to wait outside,529,527,,,
748,your building water is being shut off for emergency repairs,685,936,,,
749,your burglar or fire alarm system is sounding and you cannot silence it or verify why,122,254,,,
750,your calendar fills with spam events that include links and phone numbers,784,574,,,
751,your calls go straight to voicemail and your texts are delayed or not arriving,463,902,,,
752,"your cane, walker, or other walking aid breaks while you are out",963,964,,,
753,your car battery is dead while you are parked and you need to leave soon,762,18,,,
754,your car door is frozen shut and you cannot get inside,758,522,,,
755,your car fuel gauge is unreliable and you are unsure if you can reach help,663,844,,,
756,your car hood or bonnet will not latch properly before you start driving,851,665,,,
757,your car keeps stalling at idle and you are stopped somewhere safe,106,762,,,
758,your car locks or windows stop working and you cannot secure the vehicle,10,760,,,
759,your car trunk or boot will not open and you need urgent items inside,945,522,,,
760,your car window is shattered and you need to secure the vehicle,758,669,,,
761,your car won’t shift out of park and you are stuck in a parking lot or driveway,868,762,,,
762,your car won’t start and you are stranded in an unfamiliar place,753,952,,,
763,"your carbon monoxide detector is beeping, chirping, or showing a fault signal",14,122,,,
764,your card details are compromised and you keep seeing small test charges,462,460,,,
765,your card is declined due to a merchant category block you did not set,766,767,,,
766,your card issuer blocks online payments and you have essential bills due today,730,765,,,
767,your card issuer flags a purchase as suspicious and demands immediate identity checks,453,729,,,
768,your charging port is not working and your device is running out of power,895,798,,,
769,your checked bag is delayed and contains your vehicle keys or essential mobility equipment,770,964,,,
770,your checked bag is missing and you have lost your bag tag receipt,769,864,,,
771,your child is being blackmailed or threatened online for sexual images or money,449,339,,,
772,your child may have swallowed a medicine or unknown substance but seems fine so far,222,703,,,
773,your child support or maintenance payment is missed and enforcement is threatened,617,40,,,
774,your child’s travel document details do not match their flight booking at check-in,71,708,,,
775,your clothes dryer smells unusually hot or burnt and you suspect a venting problem,151,157,,,
776,your cloud account shows a warning about permanent deletion or a verification issue,606,322,,,
777,your cloud documents are read-only because your storage quota is full,41,903,,,
778,your cloud storage suddenly shows a large upload you cannot explain,119,901,,,
779,your commission or bonus is withheld or missing from your paycheck,880,890,,,
780,your computer firewall settings changed and you did not change them,709,781,,,
781,your computer suddenly routes web traffic through a proxy you did not set,780,745,,,
782,your computer suddenly shows a new local administrator account you did not create,690,620,,,
783,your computer warns of disk errors and offers a repair that could risk data loss,834,427,,,
784,your contact list or calendar entries disappear or merge unexpectedly,785,750,,,
785,your contacts list suddenly fills with unknown entries or random names,784,750,,,
786,your cooling system fails during extreme heat and the indoor temperature is rising,848,939,,,
787,your credit card is over the limit and restricted due to interest or fees,869,723,,,
788,your credit card statement shows a cash advance you did not make,664,716,,,
789,your credit file is suddenly frozen or locked and you did not request it,790,426,,,
790,your credit report shows a new hard inquiry you did not authorise,426,791,,,
791,your credit report shows an address or employer you do not recognise,426,790,,,
792,your credit score drops sharply overnight and you do not know the reason,790,791,,,
793,your date pressures you for a private location and reacts aggressively when you refuse,37,221,,,
794,your debit card PIN is changed and you did not request it,453,716,,,
795,your device asks for a different Apple ID or Google Account to update apps,797,711,,,
796,your device clock resets and secure websites stop loading correctly,746,961,,,
797,your device is activation locked or linked to an unknown account,795,166,,,
798,your device is overheating and you suspect a failing battery,860,768,,,
799,your device keeps asking for suspicious new system permissions after an update,149,923,,,
800,your device shows a fake virus warning pop-up that tells you to call a number,745,574,,,
801,your device suddenly asks for a disk-encryption recovery key after a restart,166,797,,,
802,your device suddenly asks for administrator permission for normal settings changes,782,799,,,
803,your direct debit or automatic payment has been changed without your permission,69,552,,,
804,your dishwasher is leaking water onto the kitchen floor mid-cycle,957,866,,,
805,your domain registrar shows a transfer or ownership change you did not request,962,961,,,
806,your driver seat belt will not latch or stay fastened,147,741,,,
807,your e-bike or e-scooter battery dies far from home and you cannot easily carry it,731,919,,,
808,your e-scooter or folding bike will not lock open and you cannot ride it safely,736,734,,,
809,your electric vehicle charge port will not close after charging,810,844,,,
810,your electric vehicle charging cable is stuck and will not release,809,844,,,
811,your electric vehicle displays a high-voltage or battery system warning,907,106,,,
812,your electronic monitoring device malfunctions and you are told it could be treated as a violation,600,651,,,
813,your electronic travel authorisation is linked to an old passport and you are travelling soon,376,573,,,
814,your email account starts sending automatic replies you did not set up,555,817,,,
815,your email app stops syncing or shows connection errors,816,814,,,
816,your email inbox is full and new messages are bouncing,815,817,,,
817,your email provider warns it will block outgoing mail due to unusual activity,814,468,,,
818,your employer announces the business is entering bankruptcy or insolvency proceedings,831,972,,,
819,your employer asks to search your personal phone or laptop for a workplace investigation,370,586,,,
820,"your employer changes your pay, hours, or other terms of your employment",368,371,,,
821,your employer changes your resignation notice period after you have handed it in,825,827,,,
822,your employer is reviewing roles and has asked for an updated CV or resume,507,329,,,
823,your employer or provider tells you your benefits or health coverage have been cancelled unexpectedly,854,159,,,
824,your employer refuses or limits your job reference,52,875,,,
825,your employer refuses to accept your resignation and insists you stay longer,821,827,,,
826,your employer says you must repay an overpayment immediately,891,519,,,
827,your employer says you must repay training costs when you resign,821,332,,,
828,your employer says your bonus is being clawed back unexpectedly,779,891,,,
829,your employer tells you to relocate or change your work location,820,971,,,
830,your employer threatens to report you to your professional licensing or certification board,320,912,,,
831,your employer warns you that they may not be able to pay your wages,818,890,,,
832,your evisa approval cannot be found online when you need to show it,616,708,,,
833,your external drive keeps disconnecting during file transfers,834,783,,,
834,your external hard drive will not mount and you need to save your files,833,138,,,
835,your family sharing or purchase sharing settings changed without your permission,667,711,,,
836,your fever returns after you seemed to be improving,393,410,,,
837,your files suddenly change names or extensions and you do not know why,443,783,,,
838,your final paycheck is delayed and you are told it will be sorted later,890,972,,,
839,your fireplace or stove is pushing smoke back into the room,60,14,,,
840,"your flight is delayed and you might miss your onward train, bus, or car rental",842,909,,,
841,your flight is overbooked and you are being denied boarding,842,924,,,
842,your flight is suddenly cancelled and you are at the airport without a clear rebooking option,840,841,,,
843,your fridge or freezer stops cooling and food is thawing,248,966,,,
844,your fuel cap or charge-port door is stuck shut when you need to refuel or charge,809,755,,,
845,your glucose monitor or insulin device alarms and you are not sure what it means,737,404,,,
846,your headlights or rear lights are not working before you drive at night,946,740,,,
847,your heart suddenly starts racing or pounding while you are at rest,549,432,,,
848,your heating is stuck on and your home is overheating,786,939,,,
849,your heating system stops working and your home is getting cold,739,939,,,
850,your home Wi-Fi name or password appears changed and your devices disconnect,921,922,,,
851,your hood release is stuck and you have a dashboard warning light,756,665,,,
852,your hot water is suddenly scalding hot and you are worried about a burn risk,684,939,,,
853,your infant under three months has a fever or is unusually sleepy,393,938,,,
854,your insurance payment failed and you are warned your coverage will lapse,159,823,,,
855,your insurance premium increases sharply and the next payment is due soon,854,823,,,
856,your interior lights or accessories will not turn off and you fear the battery will drain,740,753,,,
857,your irrigation or sprinkler system turns on unexpectedly and won’t shut off,247,866,,,
858,your kitchen cabinet base is wet and you cannot find the source of the leak,49,804,,,
859,your landlord or housing provider makes sexual comments and implies your housing depends on it,117,236,,,
860,your laptop battery is swelling and the casing or trackpad is lifting,798,768,,,
861,your laptop is locked by an unknown firmware or BIOS password,166,801,,,
862,your laptop is stolen and it contains sensitive personal documents,899,688,,,
863,your loan has been transferred to a new servicer and you are being told you are overdue,653,914,,,
864,your luggage is flagged for inspection at an airport and officials want to check it,283,544,,,
865,your luggage is too heavy to manage alone after a sudden platform change or diversion,129,359,,,
866,your main water shutoff valve is stuck and you cannot turn it,245,247,,,
867,your manager demands you attend a meeting while you are on medical leave,81,712,,,
868,your manual car is stuck in gear and you cannot move off,238,761,,,
869,your minimum credit card payment jumps far higher than usual,787,719,,,
870,your mobile phone service is about to be suspended and you need it for banking codes,683,526,,,
871,your mortgage payment amount changes suddenly and the next payment is due within days,622,914,,,
872,your motorcycle chain looks loose or damaged and you are deciding whether it is safe to ride,731,954,,,
873,your motorcycle or scooter will not start and you are stranded away from home,872,807,,,
874,your navigation stops working while your phone battery is low in an unfamiliar area,895,897,,,
